id,content,label
0,"['强烈建议', '携程', '取消', '酒店', '合作', '日为', '招待', '客人', '预订', '四间', '客房', '客人', '入住', '过后', '发现', '房间内', '强烈', '刺激性', '气味', '怀疑', '装修', '造成', '位', '客人', '房间内', '呆', '小时', '左右', '感觉', '呼吸困难', '眼睛', '红肿', '无奈', '要求', '店方', '换房', '前台', '服务员', '态度', '十分', '傲慢', '坚称', '客人', '投诉', '房间', '气味', '问题', '并称', '房间', '已', '住满', '调房', '要求', '退房', '房费', '退', '客人', '要求', '退房', '请', '部门', '进行', '空气质量', '监测', '前台', '经理', '出现', '调整', '房间', '本次', '经历', '严重', '影响', '单位', '形象', '深感', '奥运', '国宏', '服务水平', '表示', '担忧']",0
1,"['酒店', '达', '不到', '五星', '水准', '价格', '高', '环境', '差', '服务']",0
2,"['同事', '一晚', '雾都', '宾馆', '月', '日', '下午', '点', '入主', '月', '日', '外出', '点', '回房', '已', '房卡', '开门', '服务员', '开门', '先要', '查看', '身份证件', '表示', '入主', '时', '已', '提交', '证件', '现在', '房卡', '进门', '宾馆', '服务', '问题', '查', '身份', '再', '开门', '大堂', '经理', '先', '狡辩', '说', '电池', '两个', '房间', '房卡', '没电', '可能性', '说', '奥运', '期间', '保卫', '需要', '说', '合法', '入主', '结帐', '违法行为', '再', '讲', '违法', '国家', '公安部门', '限制', '有效', '入住', '时间', '自由', '出入', '希望', '携程', '满意', '答复', '宾馆', '态度', '服务', '成问题']",0
3,"['毛巾', '东西', '太旧', '连小', '方巾', '瓶装水', '小处', '看出', '四星', '唯一', '好处', '离江近']",0
4,"['该洒店', '设施', '全且', '洁净', '客户', '感觉', '不太敢', '放心使用', '服务', '人员', '态度', '不是太好', '早上', '入住', '客人', '收拾', '房间', '速度', '太慢']",0
5,"['酒店', '隔音', '太差', '木板', '隔', '纯净', '饮用水', '口', '坏', '配给', '免费', '矿泉水', '房间', '设置', '不好', '同事', '房间', '淋浴', '口', '出水', '奉劝', '住']",0
6,"['在线', '预订', '大床', '房', '携程网', '介绍', '简单', '后', '到达', '信用卡', '担保', '到达', '发现', '阁楼', '房', '只', '希望', '携程', '今后', '能够', '担负起', '推荐', '酒店', '审查', '责任', '携程', '会员', '无法']",0
7,"['汇东', '大酒店', '商务', '单间', '普通', '单间', '说', '区别', '房间', '大小', '配套', '主要', '区别', '楼层', '商务', '安排', '最', '上面', '几层', '建议', '选择', '普通', '入住', '房间', '灯光', '特别', '暗', '感觉', '人', '有点', '压抑', '房间', '装修', '比较', '差', '应该', '住', '四星', '酒店', '中', '最差', '办法']",0
8,"['酒店设施', '老化', '服务', '推委', '星', '设施', '怎能', '享受', '星', '服务', '空调', '星', '餐饮', '大众', '食堂', '标准', '价格']",0
9,"['徐州', '完差', '假道', '回', '厦门', '原来', '想', '好好', '放松', '一下', '晚上', '九点钟', '预定', '高级', '房', '无所谓', '前台', '服务', '拿到', '房间', '卡片', '开门', '一看', '携程', '图片', '完全', '两样', '典型', '九十年代', '中', '装修', '所谓', '只', '住', '一晚', '提前', '放置', '房间', '水果', '告诉', '携程', '客人', '随后', '而来', '服务员', '改变', '想法', '直白', '告诉', '总服务台', '水果', '撤掉', '问', '原因', '送错', '携程', '网站', '送', '水果', '饮料', '尴尬', '打电话', '询问', '携程', '客户', '专员', '协调', '最终', '反馈', '时', '简单', '前台', '知道', '携程', '客人', '知道', '携程', '客人', '知道', '预定', '房间', '高级', '间', '知道', '几点', '到达']",0
10,"['清楚', '是不是', '衣着打扮', '不得体', '小', '地方', '引来', '这种', '问题']",0
11,"['真正', '工作人员', '疏忽', '引起', '可惜', '原来', '我本', '想', '心情', '早早', '睡下', '稍后', '拒绝', '大堂', '经理', '升级', '房间', '延迟', '退房', '道歉', '方式', '稍稍', '抗议', '下', '想', '下次', '南京', '我会', '慎重考虑', '下', '选择']",0
12,"['服务', '人员素质', '不高', '出错', '明明', '同事', '预留', '好', '房间', '核对', '姓名', '房卡', '认识', '其他人', '低', '素质', '错误']",0
13,"['第二次', '入住', '客户', '很近', '图个', '方便']",0
14,"['先说', '第一次', '入住', '空调', '不冷', '搞', '房间', '桑拿房', '归类', '运气', '问题', '略过', '不计', '网络', '速度慢', '只能', '不可思议', '形容', '中国电信', '宽频', '服务', '酒店', '速度', '拨号上网', '还慢', '算是', '开', '眼界']",0
15,"['第二次', '就让', '决定', '再', '酒店', '住', '第三次', '前台', '男员工', '吊儿郎当', '说', '再', '一副', '爱理不理', '腔调', '问', '三句话', '只', '勉强', '回', '几个', '字', '想', '搞不好', '老板', '儿子', '真', '想不出', '酒店', '这种', '员工', '原因', '何在', '早餐', '烹饪', '区', '厨师', '知道', '教育', '躲来躲去', '想下', '一碗', '面站', '半天', '硬是', '不到', '人', '后面', '服务台', '小姐', '索性', '装作', '看到', '估计', '希望', '多一事不如少一事']",0
16,"['房间', '设备', '这次', '倒', '正常']",0
17,"['想', '赶走', '一个', '客人', '轻而易举', '事', '办法', '发现', '管理', '好', '适用', '员工', '酒店', '管理', '问题', '只能', '说', '贵', '酒店', '觉得', '根本', '不想', '做个', '四星级', '酒店', '吹毛求疵', '道歉', '绝大多数', '兢兢业业', '员工', '表示歉意']",0
18,"['挂', '三星', '牌牌', '室内', '用具', '环境', '性价比', '差太多', '现在', '哈市', '旅游', '旺季', '冰雪', '季节', '房间内', '有股', '汗味', '人', '实在', '受不了']",0
19,"['五一', '小', '长假', '期间', '碧海', '蓝天', '太', '失望', '以前', '南戴河', '碧海', '蓝天', '总体', '印象', '谈不上', '好', '起码', '干净', '整洁', '再', '帆板', '可玩去', '年轻人', '印象', '一直', '不错']",0
20,"['这次', '特意', '动员', '几个', '朋友', '前往', '没想到', '南戴河', '全面', '修路', '出入', '方便', '南戴河', '整体', '环境', '弄', '很脏', '满处', '土', '再次', '碧海', '蓝天', '里面', '变化', '外面', '环境', '还脏']",0
21,"['房间', '价格', '不低', '说', '海景房', '门口', '工地', '水沟', '房间', '中', '卫生', '不好', '自来水', '黄色']",0
22,"['建议', '协程', '应该', '多几家', '一纬路', '旁边', '度假', '宾馆']",0
23,"['携程', '员工', '最好', '住', '住', '一家', '三星级', '酒店', '满意']",0
24,"['携程', '不知', '这家', '酒店', '综合', '评分', '误导', '客人']",0
25,"['酒店', '信价', '比不高', '地段', '太', '偏']",0
26,"['早餐', '吃', '最差', '酒店', '肉包', '里面', '苍蝇']",0
27,"['请', '千万别', '住', '真的']",0
28,"['补充', '点评', '年月日', '工作人员', '态度', '诚恳', '下次', '愿意', '再', '住', '住']",0
29,"['免费', '注册', '网站', '导航', '宾馆', '索引', '服务', '说明', '携程', '诚聘', '英才', '代理', '合作', '广告业务', '联系']",0
30,[],0
31,"['华苑', '产业园', '区', '唯一', '酒店', '有星', '总体', '感觉', '快捷酒店', '好', '一点']",0
32,"['感觉', '旅游', '闹市区', '比较', '远', '有点', '不便']",0
33,"['地板', '喜欢', '地毯', '宽带', '收费', '不爽', '数字电视', '算是', '弥补', '一下', '客房', '简单', '家具', '有点', '小', '感觉', '不够', '大气', '最好', '笑', '卫生间', '插座']",0
34,"['马路', '房间', '吵', '双层', '窗', '不够', '安静']",0
35,"['补充', '点评', '年月日', '上面', '点评', '点评', '宾馆', '搞错']",0
36,"['补充', '一下']",0
37,"['地点', '闹市区', '逛街', '方便', '房间', '地板', '宽带', '收费', '不爽', '早餐', '鱼丸', '味道']",0
38,"['人', '同行', '订', '间标', '房间', '三人房', '酒店', '入住', '时', '告知', '三人房', '两间', '标房', '分别', '两幢', '楼', '三人房', '告知', '房间', '问题', '还要', '两间', '标房', '房间内', '设施', '齐全', '洗澡水', '放', '就象', '泥水', '要放', '分钟', '干净', '楼', '服务台', '服务', '人员', '总体', '感觉', '满意']",0
39,"['地段', '唯一', '优点', '房间', '小', '配置', '简陋', '没法', '洗澡', '最', '要命', '暖', '空调', '冻', '要命', '前台', '服务员', '态度']",0
40,"['酒店', '比较', '旧', '听说', '十几年', '历史', '房间', '比较', '小', '一个', '所谓', '三星', '酒店', '一次性', '剃须刀', '提供', '花', '块钱', '买', '总体', '火车站', '周边', '商务酒店']",0
